date,product,category,region,units_sold,unit_price,revenue,customer_id
2024-08-19,Monitor,Electronics,North,6,349.99,2099.94,CUST-014
2024-08-22,Laptop,Electronics,South,4,1200.00,4800.00,CUST-069
2024-08-26,Keyboard,Peripherals,South,17,79.99,1359.83,CUST-041
2024-09-03,Mouse,Peripherals,West,26,39.99,1039.74,CUST-006
2024-09-06,Desk Chair,Furniture,East,3,449.99,1349.97,CUST-082
2024-09-10,Headset,Peripherals,West,12,119.99,1439.88,CUST-024
2024-09-13,Laptop,Electronics,North,5,1200.00,6000.00,CUST-094
2024-09-17,Webcam,Peripherals,North,8,89.99,719.92,CUST-047
2024-09-20,Monitor,Electronics,West,7,349.99,2449.93,CUST-035
2024-09-24,Keyboard,Peripherals,East,21,79.99,1679.79,CUST-063
2024-09-27,Mouse,Peripherals,North,20,39.99,799.80,CUST-007
2024-10-04,Laptop,Electronics,West,7,1200.00,8400.00,CUST-020
2024-10-08,Desk Chair,Furniture,South,4,449.99,1799.96,CUST-056
2024-10-11,Headset,Peripherals,East,10,119.99,1199.90,CUST-030
2024-10-15,Webcam,Peripherals,South,14,89.99,1259.86,CUST-078
2024-10-18,Monitor,Electronics,East,8,349.99,2799.92,CUST-039
2024-10-22,Laptop,Electronics,South,3,1200.00,3600.00,CUST-087
2024-10-25,Keyboard,Peripherals,West,25,79.99,1999.75,CUST-050
2024-10-29,Mouse,Peripherals,South,32,39.99,1279.68,CUST-012
2024-11-04,Desk Chair,Furniture,North,3,449.99,1349.97,CUST-075
2024-11-07,Headset,Peripherals,South,15,119.99,1799.85,CUST-023
2024-11-11,Laptop,Electronics,East,4,1200.00,4800.00,CUST-090
2024-11-14,Webcam,Peripherals,West,18,89.99,1619.82,CUST-004
2024-11-18,Monitor,Electronics,South,10,349.99,3499.90,CUST-045
2024-11-21,Keyboard,Peripherals,North,23,79.99,1839.77,CUST-068
2024-11-25,Mouse,Peripherals,East,28,39.99,1119.72,CUST-001
2024-11-28,Laptop,Electronics,North,6,1200.00,7200.00,CUST-085
2024-12-03,Desk Chair,Furniture,West,6,449.99,2699.94,CUST-025
2024-12-06,Headset,Peripherals,West,14,119.99,1679.86,CUST-093
2024-12-10,Laptop,Electronics,West,8,1200.00,9600.00,CUST-052
2024-12-13,Webcam,Peripherals,East,11,89.99,989.89,CUST-071
2024-12-17,Monitor,Electronics,North,9,349.99,3149.91,CUST-060
2024-12-20,Keyboard,Peripherals,South,28,79.99,2239.72,CUST-080
2024-12-24,Mouse,Peripherals,West,40,39.99,1599.60,CUST-016
2024-12-27,Laptop,Electronics,South,5,1200.00,6000.00,CUST-037
